name	'Hakuna matata'

xs	ys	zs
10	14.0	15
17	14.555555555555555	22
10	15.11111111111111	15
17	15.666666666666666	22
10	16.22222222222222	15
17	16.77777777777778	22
10	17.333333333333332	15
17	17.88888888888889	22
10	18.444444444444443	15
17	19.0	22
