time_per_point	200.0
resolution	200.0
nb_line_before_optimize	2

xs	ys	zs
0.0	0.0	5.0
0.0	25.0	5.0
25.0	25.0	5.0
25.0	0.0	5.0
0.0	0.0	5.0
25.0	25.0	5.0
0.0	12.0	5.0
25.0	0.0	5.0
0.0	25.0	5.0
25.0	12.0	5.0
12.0	0.0	5.0
12.0	25.0	5.0
